ID,Name_lang,SetFlags,RequiredSkill,RequiredSkillRank,ItemID[0],ItemID[1],ItemID[2],ItemID[3],ItemID[4],ItemID[5],ItemID[6],ItemID[7],ItemID[8],ItemID[9],ItemID[10],ItemID[11],ItemID[12],ItemID[13],ItemID[14],ItemID[15],ItemID[16]
1,角斗士,1,0,0,11729,11726,11728,11731,11730,0,0,0,0,0,0,0,0,0,0,0,0
41,雷德双刀,0,0,0,12940,12939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,蜘蛛之吻,0,0,0,13218,13183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,邮差,0,0,0,13390,13388,13391,13392,13389,0,0,0,0,0,0,0,0,0,0,0,0
121,苍白,0,0,0,14637,14636,14640,14638,14641,0,0,0,0,0,0,0,0,0,0,0,0
122,骨堆,0,0,0,14631,14629,14632,14633,14626,0,0,0,0,0,0,0,0,0,0,0,0
123,血链,0,0,0,14614,14616,14615,14611,14612,0,0,0,0,0,0,0,0,0,0,0,0
124,亡者之骨,0,0,0,14624,14622,14620,14623,14621,0,0,0,0,0,0,0,0,0,0,0,0
141,火山,0,0,0,15053,15054,15055,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,雷暴,0,0,0,15056,15057,15058,21278,0,0,0,0,0,0,0,0,0,0,0,0,0
143,魔暴龙护甲,0,0,0,15062,15063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,铁羽护甲,0,0,0,15066,15067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,迪菲亚皮甲,0,0,0,10399,10403,10402,10401,10400,0,0,0,0,0,0,0,0,0,0,0,0
162,毒蛇的拥抱,0,0,0,10412,10411,10413,10410,6473,0,0,0,0,0,0,0,0,0,0,0,0
163,血色十字军链甲,0,0,0,10329,10332,10328,10331,10330,10333,0,0,0,0,0,0,0,0,0,0,0
181,博学者,0,0,0,16685,16683,16686,16684,16687,16689,16688,16682,0,0,0,0,0,0,0,0,0
182,虔诚,0,0,0,16696,16691,16697,16693,16692,16695,16694,16690,0,0,0,0,0,0,0,0,0
183,鬼雾,0,0,0,16702,16703,16699,16701,16700,16704,16698,16705,0,0,0,0,0,0,0,0,0
184,迅影,0,0,0,16713,16711,16710,16721,16708,16709,16712,16707,0,0,0,0,0,0,0,0,0
185,野性之心,0,0,0,16716,16715,16714,16720,16706,16718,16719,16717,0,0,0,0,0,0,0,0,0
186,野兽追猎者,0,0,0,16680,16675,16681,16677,16674,16678,16679,16676,0,0,0,0,0,0,0,0,0
187,元素,1,0,0,16673,16670,16671,16667,16672,16668,16669,16666,0,0,0,0,0,0,0,0,0
188,光铸护甲,0,0,0,16723,16725,16722,16726,16724,16728,16729,16727,0,0,0,0,0,0,0,0,0
189,勇气,0,0,0,16736,16734,16735,16730,16737,16731,16732,16733,0,0,0,0,0,0,0,0,0
201,奥术师,1,0,0,16802,16799,16795,16800,16801,16796,16797,16798,0,0,0,0,0,0,0,0,0
202,预言,1,0,0,16811,16813,16817,16812,16814,16816,16815,16819,0,0,0,0,0,0,0,0,0
203,恶魔之心,1,0,0,16806,16804,16805,16810,16809,16807,16808,16803,0,0,0,0,0,0,0,0,0
204,夜幕杀手,1,0,0,16827,16824,16825,16820,16821,16826,16822,16823,0,0,0,0,0,0,0,0,0
205,塞纳里奥,1,0,0,16828,16829,16830,16833,16831,16834,16835,16836,0,0,0,0,0,0,0,0,0
206,巨人追猎者,1,0,0,16851,16849,16850,16845,16848,16852,16846,16847,0,0,0,0,0,0,0,0,0
207,大地之怒,1,0,0,16838,16837,16840,16841,16844,16839,16842,16843,0,0,0,0,0,0,0,0,0
208,秩序之源,1,0,0,16858,16859,16857,16853,16860,16854,16855,16856,0,0,0,0,0,0,0,0,0
209,力量,1,0,0,16864,16861,16865,16863,16866,16867,16868,16862,0,0,0,0,0,0,0,0,0
210,灵风,1,0,0,16818,16918,16912,16914,16917,16913,16915,16916,0,0,0,0,0,0,0,0,0
211,卓越,1,0,0,16925,16926,16919,16921,16920,16922,16924,16923,0,0,0,0,0,0,0,0,0
212,复仇,1,0,0,16933,16927,16934,16928,16930,16931,16929,16932,0,0,0,0,0,0,0,0,0
213,血牙,1,0,0,16910,16906,16911,16905,16907,16908,16909,16832,0,0,0,0,0,0,0,0,0
214,怒风,1,0,0,16903,16898,16904,16897,16900,16899,16901,16902,0,0,0,0,0,0,0,0,0
215,巨龙追猎者,1,0,0,16936,16935,16942,16940,16941,16939,16938,16937,0,0,0,0,0,0,0,0,0
216,无尽风暴,1,0,0,16944,16943,16950,16945,16948,16949,16947,16946,0,0,0,0,0,0,0,0,0
217,审判,1,0,0,16952,16951,16958,16955,16956,16954,16957,16953,0,0,0,0,0,0,0,0,0
218,愤怒,1,0,0,16959,16966,16964,16963,16962,16961,16965,16960,0,0,0,0,0,0,0,0,0
221,塞奥沙套装,0,0,0,7950,7948,7952,7951,7953,7949,0,0,0,0,0,0,0,0,0,0,0
241,天神碎片,0,0,0,17082,17064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
261,艾斯卡达尔之魂,0,0,0,18203,18202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281,勇士的战甲,1,0,0,16509,16510,16513,16515,16514,16516,0,0,0,0,0,0,0,0,0,0,0
282,少校的战甲,1,0,0,16405,16406,16430,16431,16429,16432,0,0,0,0,0,0,0,0,0,0,0
301,勇士的震撼,1,0,0,16519,16518,16522,16523,16521,16524,0,0,0,0,0,0,0,0,0,0,0
321,君王板甲,0,0,0,12424,12426,12425,12422,12427,12429,12428,0,0,0,0,0,0,0,0,0,0
341,勇士的法衣,1,0,0,16485,16487,16491,16490,16489,16492,0,0,0,0,0,0,0,0,0,0,0
342,勇士的神服,1,0,0,17616,17617,17612,17611,17613,17610,0,0,0,0,0,0,0,0,0,0,0
343,少校的法衣,1,0,0,16369,16391,16413,16414,16416,16415,0,0,0,0,0,0,0,0,0,0,0
344,少校的神服,1,0,0,17594,17596,17600,17599,17598,17601,0,0,0,0,0,0,0,0,0,0,0
345,勇士的魔装,1,0,0,17576,17577,17572,17571,17570,17573,0,0,0,0,0,0,0,0,0,0,0
346,少校的魔装,1,0,0,17562,17564,17568,17567,17569,17566,0,0,0,0,0,0,0,0,0,0,0
347,勇士的制服,1,0,0,16498,16499,16505,16508,16506,16507,0,0,0,0,0,0,0,0,0,0,0
348,少校的制服,1,0,0,16392,16396,16417,16419,16420,16418,0,0,0,0,0,0,0,0,0,0,0
361,勇士的猎装,1,0,0,16531,16530,16525,16527,16526,16528,0,0,0,0,0,0,0,0,0,0,0
362,少校的猎装,1,0,0,16425,16426,16401,16403,16428,16427,0,0,0,0,0,0,0,0,0,0,0
381,少校的圣装,1,0,0,16423,16424,16422,16421,16393,16397,0,0,0,0,0,0,0,0,0,0,0
382,勇士的圣装,1,0,0,16494,16496,16504,16502,16503,16501,0,0,0,0,0,0,0,0,0,0,0
383,督军的战甲,1,0,0,16541,16542,16544,16545,16548,16543,0,0,0,0,0,0,0,0,0,0,0
